model,pass@1,execution_time,memory_usage
GPT-3.5,0.9333333333333333,4.601825133972424,2.535026041666667
Llama3,0.9333333333333333,4.245872386301941,4.173697916666667
Mobile-Llama3,1.0,1.704193194725297,1.6702749523333333
